"item";"classe";"slot";"familia";"tier";"raridade";"mapa";"caracteristicasDoItem";"materiaisGatheringAtuais";"qtdMateriaisGatheringAtuais";"problemasAtuais";"proposta3Materiais";"materiaisMantidos";"materiaisAdicionados"
"Injetor Mutagênico de Campo";"Médico";"OFF_HAND";"Injetor";"7";"EPIC";"Avenida dos Caídos";"seringa, tubo, agulha, frasco, borracha, filtro, bateria, eletrodo";"Colete Tático Paramédico + Cartucho Cerâmico Roxo";"2";"usa 2 material(is) de gathering; alvo: 3";"Colete Tático Paramédico + Cartucho Cerâmico Roxo + Bolsa Tática Rasgada";"Colete Tático Paramédico, Cartucho Cerâmico Roxo";"Bolsa Tática Rasgada"
"Injetor Helix de Estabilização";"Médico";"OFF_HAND";"Injetor";"8";"EPIC";"Complexo Helix";"seringa, tubo, agulha, frasco, borracha, filtro, bateria, eletrodo";"Revestimento de Polímero Clínico + Ampola Cerâmica Helix";"2";"usa 2 material(is) de gathering; alvo: 3";"Revestimento de Polímero Clínico + Ampola Cerâmica Helix + Estojo de Polímero Helix";"Revestimento de Polímero Clínico, Ampola Cerâmica Helix";"Estojo de Polímero Helix"
"Injetor Carmesim de Reanimação";"Médico";"OFF_HAND";"Injetor";"9";"LEGENDARY";"Necrópole Industrial";"seringa, tubo, agulha, frasco, borracha, filtro, bateria, eletrodo";"Núcleo de Dosagem Carmesim + Câmara de Vedação Carmesim (Contenção T9 Off Hand)";"2";"usa 2 material(is) de gathering; alvo: 3";"Núcleo de Dosagem Carmesim + Câmara de Vedação Carmesim (Contenção T9 Off Hand) + Núcleo Explosivo Carmesim";"Núcleo de Dosagem Carmesim, Câmara de Vedação Carmesim (Contenção T9 Off Hand)";"Núcleo Explosivo Carmesim"
"Injetor do Marco Zero";"Médico";"OFF_HAND";"Injetor";"10";"LEGENDARY";"Marco Zero";"seringa, tubo, agulha, frasco, borracha, filtro, bateria, eletrodo";"Atuador Rubro de Dose Final + Núcleo Rubro de Esterilização (Contenção T10 Off Hand)";"2";"usa 2 material(is) de gathering; alvo: 3";"Atuador Rubro de Dose Final + Núcleo Rubro de Esterilização (Contenção T10 Off Hand) + Cápsula do Marco Zero";"Atuador Rubro de Dose Final, Núcleo Rubro de Esterilização (Contenção T10 Off Hand)";"Cápsula do Marco Zero"
"Máscara Clínica Rasgada";"Médico";"HEAD";"Máscara";"1";"COMMON";"Subúrbio Silencioso";"mascara, filtro, visor, lente, espuma, tubo, capacete, casco";"Filtro Pálido Sujo + Clipe de Respirador Quebrado";"2";"usa 2 material(is) de gathering; alvo: 3";"Filtro Pálido Sujo + Clipe de Respirador Quebrado + Lente de Mira Quebrada";"Filtro Pálido Sujo, Clipe de Respirador Quebrado";"Lente de Mira Quebrada"
"Máscara de Oficina Médica";"Médico";"HEAD";"Máscara";"2";"COMMON";"Distrito da Ferrugem";"mascara, filtro, visor, lente, espuma, tubo, capacete, casco";"Cartucho Filtrante Oxidado (Contenção T2 Elmo) + Válvula de Respirador Oxidada";"2";"usa 2 material(is) de gathering; alvo: 3";"Cartucho Filtrante Oxidado (Contenção T2 Elmo) + Válvula de Respirador Oxidada + Casco de Solda Enferrujado";"Cartucho Filtrante Oxidado (Contenção T2 Elmo), Válvula de Respirador Oxidada";"Casco de Solda Enferrujado"
"Máscara de Isolamento Clínico";"Médico";"HEAD";"Máscara";"3";"UNCOMMON";"Hospital Santa Ruína";"mascara, filtro, visor, lente, espuma, tubo, capacete, casco";"Vedação de Máscara Clínica + Sensor de Respiração Quebrado";"2";"usa 2 material(is) de gathering; alvo: 3";"Vedação de Máscara Clínica + Sensor de Respiração Quebrado + Tira de Máscara Clínica";"Vedação de Máscara Clínica, Sensor de Respiração Quebrado";"Tira de Máscara Clínica"
"Máscara de Cabine Sanitária";"Médico";"HEAD";"Máscara";"4";"UNCOMMON";"Terminal dos Esquecidos";"mascara, filtro, visor, lente, espuma, tubo, capacete, casco";"Filtro de Cabine Amarelado + Módulo de Purificador de Cabine";"2";"usa 2 material(is) de gathering; alvo: 3";"Filtro de Cabine Amarelado + Módulo de Purificador de Cabine + Filtro de Cabine Queimado";"Filtro de Cabine Amarelado, Módulo de Purificador de Cabine";"Filtro de Cabine Queimado"
"Máscara de Quarentena Verde";"Médico";"HEAD";"Máscara";"5";"RARE";"Zona de Quarentena 9";"mascara, filtro, visor, lente, espuma, tubo, capacete, casco";"Cartucho de Quarentena Verde + Válvula Sanitária Verde";"2";"usa 2 material(is) de gathering; alvo: 3";"Cartucho de Quarentena Verde + Válvula Sanitária Verde + Visor de Quarentena";"Cartucho de Quarentena Verde, Válvula Sanitária Verde";"Visor de Quarentena"
"Máscara de Vapor Cinzento";"Médico";"HEAD";"Máscara";"6";"RARE";"Refinaria do Pó Cinzento";"mascara, filtro, visor, lente, espuma, tubo, capacete, casco";"Filtro de Vapor Ressecado + Sensor de Vapores Cinzento";"2";"usa 2 material(is) de gathering; alvo: 3";"Filtro de Vapor Ressecado + Sensor de Vapores Cinzento + Máscara de Solda Pesada";"Filtro de Vapor Ressecado, Sensor de Vapores Cinzento";"Máscara de Solda Pesada"
"Máscara de Resgate Mutagênico";"Médico";"HEAD";"Máscara";"7";"EPIC";"Avenida dos Caídos";"mascara, filtro, visor, lente, espuma, tubo, capacete, casco";"Inserto Cerâmico Respiratório + Microvisor de Campo Roxo";"2";"usa 2 material(is) de gathering; alvo: 3";"Inserto Cerâmico Respiratório + Microvisor de Campo Roxo + Microvisor Balístico";"Inserto Cerâmico Respiratório, Microvisor de Campo Roxo";"Microvisor Balístico"
"Máscara Helix de Biofiltro";"Médico";"HEAD";"Máscara";"8";"EPIC";"Complexo Helix";"mascara, filtro, visor, lente, espuma, tubo, capacete, casco";"Cápsula Biofiltrante Helix + Módulo Respiratório Helix";"2";"usa 2 material(is) de gathering; alvo: 3";"Cápsula Biofiltrante Helix + Módulo Respiratório Helix + Manta de Polímero Helix";"Cápsula Biofiltrante Helix, Módulo Respiratório Helix";"Manta de Polímero Helix"
"Máscara Carmesim de Contenção";"Médico";"HEAD";"Máscara";"9";"LEGENDARY";"Necrópole Industrial";"mascara, filtro, visor, lente, espuma, tubo, capacete, casco";"Núcleo de Respiração Carmesim + Interface Ocular Carmesim (Tecnovarredura T9 Elmo)";"2";"usa 2 material(is) de gathering; alvo: 3";"Núcleo de Respiração Carmesim + Interface Ocular Carmesim (Tecnovarredura T9 Elmo) + Visor Carmesim Selado";"Núcleo de Respiração Carmesim, Interface Ocular Carmesim (Tecnovarredura T9 Elmo)";"Visor Carmesim Selado"
"Máscara do Marco Zero";"Médico";"HEAD";"Máscara";"10";"LEGENDARY";"Marco Zero";"mascara, filtro, visor, lente, espuma, tubo, capacete, casco";"Núcleo Rubro de Respiração + Visor Rubro de Bioleitura";"2";"usa 2 material(is) de gathering; alvo: 3";"Núcleo Rubro de Respiração + Visor Rubro de Bioleitura + Coroa Titânica do Marco";"Núcleo Rubro de Respiração, Visor Rubro de Bioleitura";"Coroa Titânica do Marco"
"Colete de Primeiros Socorros";"Médico";"ARMOR";"Colete";"1";"COMMON";"Subúrbio Silencioso";"colete, placa, forro, lona, retalho, malha, portao, porta";"Bolsa de Curativo Rasgada + Espuma Antisséptica Suja";"2";"usa 2 material(is) de gathering; alvo: 3";"Bolsa de Curativo Rasgada + Espuma Antisséptica Suja + Placa de Portão Leve";"Bolsa de Curativo Rasgada, Espuma Antisséptica Suja";"Placa de Portão Leve"
"Colete Paramédico Enferrujado";"Médico";"ARMOR";"Colete";"2";"COMMON";"Distrito da Ferrugem";"colete, placa, forro, lona, retalho, malha, portao, porta";"Bolsa de Ferramentas Médicas Gasta + Vedação de Oficina Sanitária";"2";"usa 2 material(is) de gathering; alvo: 3";"Bolsa de Ferramentas Médicas Gasta + Vedação de Oficina Sanitária + Colete de Operário Gasto";"Bolsa de Ferramentas Médicas Gasta, Vedação de Oficina Sanitária";"Colete de Operário Gasto"
"Colete de Triagem Clínica";"Médico";"ARMOR";"Colete";"3";"UNCOMMON";"Hospital Santa Ruína";"colete, placa, forro, lona, retalho, malha, portao, porta";"Avental Hospitalar Grosso + Placa de Isolamento Clínico";"2";"usa 2 material(is) de gathering; alvo: 3";"Avental Hospitalar Grosso + Placa de Isolamento Clínico + Monitor Portátil Quebrado";"Avental Hospitalar Grosso, Placa de Isolamento Clínico";"Monitor Portátil Quebrado"
"Colete de Resgate do Terminal";"Médico";"ARMOR";"Colete";"4";"UNCOMMON";"Terminal dos Esquecidos";"colete, placa, forro, lona, retalho, malha, portao, porta";"Manta de Emergência Desfiada + Lacre Sanitário de Cabine";"2";"usa 2 material(is) de gathering; alvo: 3";"Manta de Emergência Desfiada + Lacre Sanitário de Cabine + Forro de Assento Rasgado";"Manta de Emergência Desfiada, Lacre Sanitário de Cabine";"Forro de Assento Rasgado"
"Colete de Quarentena Verde";"Médico";"ARMOR";"Colete";"5";"RARE";"Zona de Quarentena 9";"colete, placa, forro, lona, retalho, malha, portao, porta";"Colete Antimordida Rasgado + Resina de Quarentena Verde";"2";"usa 2 material(is) de gathering; alvo: 3";"Colete Antimordida Rasgado + Resina de Quarentena Verde + Módulo de Alarme Verde";"Colete Antimordida Rasgado, Resina de Quarentena Verde";"Módulo de Alarme Verde"
"Colete de Vapor Cinzento";"Médico";"ARMOR";"Colete";"6";"RARE";"Refinaria do Pó Cinzento";"colete, placa, forro, lona, retalho, malha, portao, porta";"Avental de Borracha Carbonizado (Coleta T6 Armadura) + Vedação de Vapor Cinzenta";"2";"usa 2 material(is) de gathering; alvo: 3";"Avental de Borracha Carbonizado (Coleta T6 Armadura) + Vedação de Vapor Cinzenta + Placa de Caldeira Pesada";"Avental de Borracha Carbonizado (Coleta T6 Armadura), Vedação de Vapor Cinzenta";"Placa de Caldeira Pesada"
"Colete de Campo Mutagênico";"Médico";"ARMOR";"Colete";"7";"EPIC";"Avenida dos Caídos";"colete, placa, forro, lona, retalho, malha, portao, porta";"Colete Tático Paramédico + Placa Cerâmica Roxa";"2";"usa 2 material(is) de gathering; alvo: 3";"Colete Tático Paramédico + Placa Cerâmica Roxa + Colete Tático Rasgado (Patrulha T7 Armadura)";"Colete Tático Paramédico, Placa Cerâmica Roxa";"Colete Tático Rasgado (Patrulha T7 Armadura)"
"Colete Helix de Estabilização";"Médico";"ARMOR";"Colete";"8";"EPIC";"Complexo Helix";"colete, placa, forro, lona, retalho, malha, portao, porta";"Revestimento de Polímero Clínico + Célula Cerâmica de Contenção";"2";"usa 2 material(is) de gathering; alvo: 3";"Revestimento de Polímero Clínico + Célula Cerâmica de Contenção + Carcaça Experimental Helix";"Revestimento de Polímero Clínico, Célula Cerâmica de Contenção";"Carcaça Experimental Helix"
"Colete Carmesim da Necrópole";"Médico";"ARMOR";"Colete";"9";"LEGENDARY";"Necrópole Industrial";"colete, placa, forro, lona, retalho, malha, portao, porta";"Malha de Fibra Médica + Câmara de Vedação Carmesim (Contenção T9 Armadura)";"2";"usa 2 material(is) de gathering; alvo: 3";"Malha de Fibra Médica + Câmara de Vedação Carmesim (Contenção T9 Armadura) + Malha de Fibra Pesada (Coleta T9 Armadura)";"Malha de Fibra Médica, Câmara de Vedação Carmesim (Contenção T9 Armadura)";"Malha de Fibra Pesada (Coleta T9 Armadura)"
"Colete do Último Socorro";"Médico";"ARMOR";"Colete";"10";"LEGENDARY";"Marco Zero";"colete, placa, forro, lona, retalho, malha, portao, porta";"Manta de Fibra Rubra (Coleta T10 Armadura) + Núcleo Rubro de Quarentena";"2";"usa 2 material(is) de gathering; alvo: 3 | mesma combina??o de gathering repetida 2x";"Manta de Fibra Rubra (Coleta T10 Armadura) + Núcleo Rubro de Quarentena + Placas Titânicas do Marco";"Manta de Fibra Rubra (Coleta T10 Armadura), Núcleo Rubro de Quarentena";"Placas Titânicas do Marco"
"Calças de Socorro Rasgadas";"Médico";"PANTS";"Calças";"1";"COMMON";"Subúrbio Silencioso";"calca, jeans, cinto, bolso, retalho, fita, joelheira, tecido";"Retalho de Calça Grossa + Fivela de Monitor Quebrada";"2";"usa 2 material(is) de gathering; alvo: 3";"Retalho de Calça Grossa + Fivela de Monitor Quebrada + Retalho de Jeans Ajustado";"Retalho de Calça Grossa, Fivela de Monitor Quebrada";"Retalho de Jeans Ajustado"
"Calças de Oficina Sanitária";"Médico";"PANTS";"Calças";"2";"COMMON";"Distrito da Ferrugem";"calca, jeans, cinto, bolso, retalho, fita, joelheira, tecido";"Bainha de Uniforme Gasta (Coleta T2 Pernas) + Sensor de Ferramenta Oxidado";"2";"usa 2 material(is) de gathering; alvo: 3";"Bainha de Uniforme Gasta (Coleta T2 Pernas) + Sensor de Ferramenta Oxidado + Porta-cartuchos Oxidado";"Bainha de Uniforme Gasta (Coleta T2 Pernas), Sensor de Ferramenta Oxidado";"Porta-cartuchos Oxidado"
"Calças de Triagem Clínica";"Médico";"PANTS";"Calças";"3";"UNCOMMON";"Hospital Santa Ruína";"calca, jeans, cinto, bolso, retalho, fita, joelheira, tecido";"Acolchoado de Maca (Coleta T3 Pernas) + Cabo de Monitor Clínico";"2";"usa 2 material(is) de gathering; alvo: 3";"Acolchoado de Maca (Coleta T3 Pernas) + Cabo de Monitor Clínico + Lâmina de Tesoura Clínica";"Acolchoado de Maca (Coleta T3 Pernas), Cabo de Monitor Clínico";"Lâmina de Tesoura Clínica"
"Calças de Emergência do Terminal";"Médico";"PANTS";"Calças";"4";"UNCOMMON";"Terminal dos Esquecidos";"calca, jeans, cinto, bolso, retalho, fita, joelheira, tecido";"Tapete de Embarque Desfiado (Coleta T4 Pernas) + Chip de Catraca Médica";"2";"usa 2 material(is) de gathering; alvo: 3";"Tapete de Embarque Desfiado (Coleta T4 Pernas) + Chip de Catraca Médica + Ponta de Canivete Quebrado";"Tapete de Embarque Desfiado (Coleta T4 Pernas), Chip de Catraca Médica";"Ponta de Canivete Quebrado"
"Calças de Quarentena Leve";"Médico";"PANTS";"Calças";"5";"RARE";"Zona de Quarentena 9";"calca, jeans, cinto, bolso, retalho, fita, joelheira, tecido";"Acolchoado Antimordida (Coleta T5 Pernas) + Sensor de Gás Verde (Tecnovarredura T5 Pernas)";"2";"usa 2 material(is) de gathering; alvo: 3";"Acolchoado Antimordida (Coleta T5 Pernas) + Sensor de Gás Verde (Tecnovarredura T5 Pernas) + Acolchoado Antimordida Leve";"Acolchoado Antimordida (Coleta T5 Pernas), Sensor de Gás Verde (Tecnovarredura T5 Pernas)";"Acolchoado Antimordida Leve"
"Calças de Vedação Cinzenta";"Médico";"PANTS";"Calças";"6";"RARE";"Refinaria do Pó Cinzento";"calca, jeans, cinto, bolso, retalho, fita, joelheira, tecido";"Avental de Borracha Carbonizado (Coleta T6 Pernas) + Relé de Refinaria";"2";"usa 2 material(is) de gathering; alvo: 3";"Avental de Borracha Carbonizado (Coleta T6 Pernas) + Relé de Refinaria + Avental de Borracha Carbonizado (Patrulha T6 Pernas)";"Avental de Borracha Carbonizado (Coleta T6 Pernas), Relé de Refinaria";"Avental de Borracha Carbonizado (Patrulha T6 Pernas)"
"Calças de Resgate Mutagênico";"Médico";"PANTS";"Calças";"7";"EPIC";"Avenida dos Caídos";"calca, jeans, cinto, bolso, retalho, fita, joelheira, tecido";"Joelheira Paramédica Rasgada + Sensor de Movimento Roxo";"2";"usa 2 material(is) de gathering; alvo: 3";"Joelheira Paramédica Rasgada + Sensor de Movimento Roxo + Joelheira Tática Rasgada (Patrulha T7 Pernas)";"Joelheira Paramédica Rasgada, Sensor de Movimento Roxo";"Joelheira Tática Rasgada (Patrulha T7 Pernas)"
"Calças Articuladas Helix";"Médico";"PANTS";"Calças";"8";"EPIC";"Complexo Helix";"calca, jeans, cinto, bolso, retalho, fita, joelheira, tecido";"Polímero Articulado Clínico + Atuador de Joelho Helix";"2";"usa 2 material(is) de gathering; alvo: 3";"Polímero Articulado Clínico + Atuador de Joelho Helix + Microserra Helix (Arsenal T8 Pernas)";"Polímero Articulado Clínico, Atuador de Joelho Helix";"Microserra Helix (Arsenal T8 Pernas)"
"Calças Carmesim de Estabilização";"Médico";"PANTS";"Calças";"9";"LEGENDARY";"Necrópole Industrial";"calca, jeans, cinto, bolso, retalho, fita, joelheira, tecido";"Trama de Fibra Pesada (Coleta T9 Pernas) + Câmara de Movimento Carmesim";"2";"usa 2 material(is) de gathering; alvo: 3";"Trama de Fibra Pesada (Coleta T9 Pernas) + Câmara de Movimento Carmesim + Cilindro de Munição Carmesim";"Trama de Fibra Pesada (Coleta T9 Pernas), Câmara de Movimento Carmesim";"Cilindro de Munição Carmesim"
"Calças do Marco Zero";"Médico";"PANTS";"Calças";"10";"LEGENDARY";"Marco Zero";"calca, jeans, cinto, bolso, retalho, fita, joelheira, tecido";"Fibra Rubra Articulada (Coleta T10 Pernas) + Módulo de Passo Final";"2";"usa 2 material(is) de gathering; alvo: 3";"Fibra Rubra Articulada (Coleta T10 Pernas) + Módulo de Passo Final + Porta-cargas do Marco";"Fibra Rubra Articulada (Coleta T10 Pernas), Módulo de Passo Final";"Porta-cargas do Marco"
"Sapatos de Enfermagem Gastos";"Médico";"BOOTS";"Sapatos";"1";"COMMON";"Subúrbio Silencioso";"sapato, sola, couro, cordao, palmilha, bota, tenis, cadaco";"Couro de Sapato Gasto + Palmilha Filtrante Suja";"2";"usa 2 material(is) de gathering; alvo: 3";"Couro de Sapato Gasto + Palmilha Filtrante Suja + Sola de Tênis Gasto";"Couro de Sapato Gasto, Palmilha Filtrante Suja";"Sola de Tênis Gasto"
"Sapatos de Oficina Sanitária";"Médico";"BOOTS";"Sapatos";"2";"COMMON";"Distrito da Ferrugem";"sapato, sola, couro, cordao, palmilha, bota, tenis, cadaco";"Cadarço de Uniforme Gasto (Coleta T2 Pés) + Vedação de Graxa Seca";"2";"usa 2 material(is) de gathering; alvo: 3";"Cadarço de Uniforme Gasto (Coleta T2 Pés) + Vedação de Graxa Seca + Cadarço de Uniforme Gasto (Patrulha T2 Pés)";"Cadarço de Uniforme Gasto (Coleta T2 Pés), Vedação de Graxa Seca";"Cadarço de Uniforme Gasto (Patrulha T2 Pés)"
"Sapatos de Enfermaria Selada";"Médico";"BOOTS";"Sapatos";"3";"UNCOMMON";"Hospital Santa Ruína";"sapato, sola, couro, cordao, palmilha, bota, tenis, cadaco";"Cobertura Cirúrgica Rasgada (Coleta T3 Pés) + Película Antisséptica Rachada";"2";"usa 2 material(is) de gathering; alvo: 3";"Cobertura Cirúrgica Rasgada (Coleta T3 Pés) + Película Antisséptica Rachada + Cobertura Cirúrgica Rasgada (Patrulha T3 Pés)";"Cobertura Cirúrgica Rasgada (Coleta T3 Pés), Película Antisséptica Rachada";"Cobertura Cirúrgica Rasgada (Patrulha T3 Pés)"
"Sapatos de Resgate do Terminal";"Médico";"BOOTS";"Sapatos";"4";"UNCOMMON";"Terminal dos Esquecidos";"sapato, sola, couro, cordao, palmilha, bota, tenis, cadaco";"Tapete de Piso Emborrachado (Coleta T4 Pés) + Manta Isolante de Cabine";"2";"usa 2 material(is) de gathering; alvo: 3";"Tapete de Piso Emborrachado (Coleta T4 Pés) + Manta Isolante de Cabine + Tapete de Piso Emborrachado (Patrulha T4 Pés)";"Tapete de Piso Emborrachado (Coleta T4 Pés), Manta Isolante de Cabine";"Tapete de Piso Emborrachado (Patrulha T4 Pés)"
"Sapatos de Quarentena Verde";"Médico";"BOOTS";"Sapatos";"5";"RARE";"Zona de Quarentena 9";"sapato, sola, couro, cordao, palmilha, bota, tenis, cadaco";"Manguito Antimordida Leve (Coleta T5 Pés) + Gel de Desinfecção Coagulado";"2";"usa 2 material(is) de gathering; alvo: 3";"Manguito Antimordida Leve (Coleta T5 Pés) + Gel de Desinfecção Coagulado + Detector de Gás Verde";"Manguito Antimordida Leve (Coleta T5 Pés), Gel de Desinfecção Coagulado";"Detector de Gás Verde"
"Sapatos de Vapor Cinzento";"Médico";"BOOTS";"Sapatos";"6";"RARE";"Refinaria do Pó Cinzento";"sapato, sola, couro, cordao, palmilha, bota, tenis, cadaco";"Sola de Borracha Vulcanizada (Coleta T6 Pés) + Pasta de Vedação Cinzenta";"2";"usa 2 material(is) de gathering; alvo: 3";"Sola de Borracha Vulcanizada (Coleta T6 Pés) + Pasta de Vedação Cinzenta + Sola de Borracha Vulcanizada (Patrulha T6 Pés)";"Sola de Borracha Vulcanizada (Coleta T6 Pés), Pasta de Vedação Cinzenta";"Sola de Borracha Vulcanizada (Patrulha T6 Pés)"
"Sapatos de Campo Mutagênico";"Médico";"BOOTS";"Sapatos";"7";"EPIC";"Avenida dos Caídos";"sapato, sola, couro, cordao, palmilha, bota, tenis, cadaco";"Reforço de Polímero de Tornozelo (Coleta T7 Pés) + Inserto Cerâmico Roxo";"2";"usa 2 material(is) de gathering; alvo: 3";"Reforço de Polímero de Tornozelo (Coleta T7 Pés) + Inserto Cerâmico Roxo + Reforço de Polímero de Tornozelo (Patrulha T7 Pés)";"Reforço de Polímero de Tornozelo (Coleta T7 Pés), Inserto Cerâmico Roxo";"Reforço de Polímero de Tornozelo (Patrulha T7 Pés)"
"Sapatos de Tração Helix";"Médico";"BOOTS";"Sapatos";"8";"EPIC";"Complexo Helix";"sapato, sola, couro, cordao, palmilha, bota, tenis, cadaco";"Revestimento de Polímero Translúcido (Coleta T8 Pés) + Cartucho Cerâmico Helix";"2";"usa 2 material(is) de gathering; alvo: 3";"Revestimento de Polímero Translúcido (Coleta T8 Pés) + Cartucho Cerâmico Helix + Atuador de Tração Helix";"Revestimento de Polímero Translúcido (Coleta T8 Pés), Cartucho Cerâmico Helix";"Atuador de Tração Helix"
"Sapatos de Marcha Carmesim";"Médico";"BOOTS";"Sapatos";"9";"LEGENDARY";"Necrópole Industrial";"sapato, sola, couro, cordao, palmilha, bota, tenis, cadaco";"Fibra de Compressão Pesada (Coleta T9 Pés) + Selo de Marcha Carmesim (Contenção T9 Pés)";"2";"usa 2 material(is) de gathering; alvo: 3";"Fibra de Compressão Pesada (Coleta T9 Pés) + Selo de Marcha Carmesim (Contenção T9 Pés) + Selo de Marcha Carmesim (Tecnovarredura T9 Pés)";"Fibra de Compressão Pesada (Coleta T9 Pés), Selo de Marcha Carmesim (Contenção T9 Pés)";"Selo de Marcha Carmesim (Tecnovarredura T9 Pés)"
"Sapatos do Último Passo";"Médico";"BOOTS";"Sapatos";"10";"LEGENDARY";"Marco Zero";"sapato, sola, couro, cordao, palmilha, bota, tenis, cadaco";"Fibra Escarlate de Tração (Coleta T10 Pés) + Célula Rubra de Impacto";"2";"usa 2 material(is) de gathering; alvo: 3";"Fibra Escarlate de Tração (Coleta T10 Pés) + Célula Rubra de Impacto + Solado Titânico do Marco";"Fibra Escarlate de Tração (Coleta T10 Pés), Célula Rubra de Impacto";"Solado Titânico do Marco"
"Rifle de Cano Curto";"Atirador";"MAIN_HAND";"Rifle";"1";"COMMON";"Subúrbio Silencioso";"cano, gatilho, mira, lente, mola, municao, bolso, capa";"Cano de Espingarda Velha + Apoio de Madeira Rachado";"2";"usa 2 material(is) de gathering; alvo: 3";"Cano de Espingarda Velha + Apoio de Madeira Rachado + Malha Rasgada";"Cano de Espingarda Velha, Apoio de Madeira Rachado";"Malha Rasgada"
"Pistola de Gaveta Quebrada";"Atirador";"MAIN_HAND";"Pistola";"1";"COMMON";"Subúrbio Silencioso";"cano, gatilho, mola, capa, mira, carregador, municao, lente";"Ferrolho de Pistola Gasto + Punho de Madeira Lascada";"2";"usa 2 material(is) de gathering; alvo: 3";"Ferrolho de Pistola Gasto + Punho de Madeira Lascada + Cano de Espingarda Velha";"Ferrolho de Pistola Gasto, Punho de Madeira Lascada";"Cano de Espingarda Velha"
"Rifle de Oficina Oxidado";"Atirador";"MAIN_HAND";"Rifle";"2";"COMMON";"Distrito da Ferrugem";"cano, gatilho, mira, lente, mola, municao, bolso, capa";"Cano Oxidado de Carabina + Suporte de Bancada Enferrujado";"2";"usa 2 material(is) de gathering; alvo: 3";"Cano Oxidado de Carabina + Suporte de Bancada Enferrujado + Cartucho Filtrante Oxidado (Contenção T2 Main Hand)";"Cano Oxidado de Carabina, Suporte de Bancada Enferrujado";"Cartucho Filtrante Oxidado (Contenção T2 Main Hand)"
"Pistola de Chapa Enferrujada";"Atirador";"MAIN_HAND";"Pistola";"2";"COMMON";"Distrito da Ferrugem";"cano, gatilho, mola, capa, mira, carregador, municao, lente";"Tambor Oxidado de Revólver + Placa de Oficina Recortada";"2";"usa 2 material(is) de gathering; alvo: 3";"Tambor Oxidado de Revólver + Placa de Oficina Recortada + Cano Oxidado de Carabina";"Tambor Oxidado de Revólver, Placa de Oficina Recortada";"Cano Oxidado de Carabina"
"Rifle de Dardos Clínicos";"Atirador";"MAIN_HAND";"Rifle";"3";"UNCOMMON";"Hospital Santa Ruína";"cano, gatilho, mira, lente, mola, municao, bolso, capa";"Lançador de Dardos Clínicos + Trilho de Leito Hospitalar";"2";"usa 2 material(is) de gathering; alvo: 3";"Lançador de Dardos Clínicos + Trilho de Leito Hospitalar + Forro de Maca Rasgado";"Lançador de Dardos Clínicos, Trilho de Leito Hospitalar";"Forro de Maca Rasgado"
"Pistola de Sedativo Quebrada";"Atirador";"MAIN_HAND";"Pistola";"3";"UNCOMMON";"Hospital Santa Ruína";"cano, gatilho, mola, capa, mira, carregador, municao, lente";"Câmara de Sedativo Pressurizada + Punho de Aço Clínico";"2";"usa 2 material(is) de gathering; alvo: 3";"Câmara de Sedativo Pressurizada + Punho de Aço Clínico + Gel Condutor Vencido";"Câmara de Sedativo Pressurizada, Punho de Aço Clínico";"Gel Condutor Vencido"
"Rifle de Sinalização de Embarque";"Atirador";"MAIN_HAND";"Rifle";"4";"UNCOMMON";"Terminal dos Esquecidos";"cano, gatilho, mira, lente, mola, municao, bolso, capa";"Cano de Sinalizador Longo + Placa de Embarque Recortada";"2";"usa 2 material(is) de gathering; alvo: 3";"Cano de Sinalizador Longo + Placa de Embarque Recortada + Capacitor de Cabine";"Cano de Sinalizador Longo, Placa de Embarque Recortada";"Capacitor de Cabine"
"Pistola de Segurança do Terminal";"Atirador";"MAIN_HAND";"Pistola";"4";"UNCOMMON";"Terminal dos Esquecidos";"cano, gatilho, mola, capa, mira, carregador, municao, lente";"Mecanismo de Pistola de Segurança + Painel de Catraca Quebrado";"2";"usa 2 material(is) de gathering; alvo: 3";"Mecanismo de Pistola de Segurança + Painel de Catraca Quebrado + Capacitor de Cabine";"Mecanismo de Pistola de Segurança, Painel de Catraca Quebrado";"Capacitor de Cabine"
"Rifle de Contenção Verde";"Atirador";"MAIN_HAND";"Rifle";"5";"RARE";"Zona de Quarentena 9";"cano, gatilho, mira, lente, mola, municao, bolso, capa";"Cano de Contenção Selado + Trilho de Barreira Verde";"2";"usa 2 material(is) de gathering; alvo: 3";"Cano de Contenção Selado + Trilho de Barreira Verde + Ampola Selante Verde";"Cano de Contenção Selado, Trilho de Barreira Verde";"Ampola Selante Verde"
"Pistola de Quarentena Selada";"Atirador";"MAIN_HAND";"Pistola";"5";"RARE";"Zona de Quarentena 9";"cano, gatilho, mola, capa, mira, carregador, municao, lente";"Ferrolho Sanitário Verde + Placa de Porta Selada";"2";"usa 2 material(is) de gathering; alvo: 3";"Ferrolho Sanitário Verde + Placa de Porta Selada + Cano de Contenção Selado";"Ferrolho Sanitário Verde, Placa de Porta Selada";"Cano de Contenção Selado"
"Rifle de Fuligem Cinzenta";"Atirador";"MAIN_HAND";"Rifle";"6";"RARE";"Refinaria do Pó Cinzento";"cano, gatilho, mira, lente, mola, municao, bolso, capa";"Cano Industrial Queimado + Suporte de Caldeira Serrado";"2";"usa 2 material(is) de gathering; alvo: 3";"Cano Industrial Queimado + Suporte de Caldeira Serrado + Pasta Isolante Cinzenta";"Cano Industrial Queimado, Suporte de Caldeira Serrado";"Pasta Isolante Cinzenta"
